"query","field"

"Terms: quantitative easing program=برنامج التسهيل الكمي - federal funds rate=معدل الأموال الفيدرالية - inflation targeting framework=إطار استهداف التضخم - forward guidance communication=تواصل التوجيه التطلعي - balance sheet normalization=تطبيع الميزانية العمومية

English: Quantitative easing program increases central-bank asset purchases.
Arabic: يزيد برنامج التسهيل الكمي من مشتريات البنك المركزي من الأصول.

English: Federal funds rate influences short-term borrowing costs.
Arabic: يؤثر معدل الأموال الفيدرالية على تكاليف الاقتراض قصيرة الأجل.

English: Inflation targeting framework anchors inflation expectations.
Arabic: يرسخ إطار استهداف التضخم توقعات التضخم.

English: Balance sheet normalization reduces central-bank holdings gradually.
Arabic: يقلل تطبيع الميزانية العمومية من holdings البنك المركزي تدريجيًا.

English: Quantitative easing program must be followed by balance sheet normalization in inflation targeting.
Arabic:","economic"

"Terms: expansionary fiscal stimulus=التحفيز المالي التوسعي - government debt ceiling=سقف الدين الحكومي - automatic stabilizer mechanism=آلية المثبت التلقائي - cyclically adjusted primary balance=التوازن الأساسي المعدل دوريًا - public debt sustainability analysis=تحليل استدامة الدين العام

English: Expansionary fiscal stimulus boosts aggregate demand during recessions.
Arabic: يعزز التحفيز المالي التوسعي الطلب الكلي خلال الركود.

English: Government debt ceiling limits borrowing authority.
Arabic: يحد سقف الدين الحكومي من سلطة الاقتراض.

English: Automatic stabilizer mechanism dampens economic fluctuations.
Arabic: تخفف آلية المثبت التلقائي من التقلبات الاقتصادية.

English: Public debt sustainability analysis guides long-term fiscal policy.
Arabic: يوجه تحليل استدامة الدين العام السياسة المالية طويلة الأجل.

English: Expansionary fiscal stimulus must be evaluated by public debt sustainability analysis.
Arabic:","economic"

"Terms: floating exchange-rate regime=نظام سعر الصرف العائم - currency intervention mechanism=آلية تدخل العملة - nominal effective exchange rate=سعر الصرف الفعال الاسمي - real exchange-rate appreciation=تقدير سعر الصرف الحقيقي - carry trade strategy=استراتيجية تداول الفائدة

English: Floating exchange-rate regime allows market-driven currency values.
Arabic: يسمح نظام سعر الصرف العائم بقيم عملة مدفوعة بالسوق.

English: Currency intervention mechanism smoothes excessive volatility.
Arabic: تنع آلية تدخل العملة التقلبات المفرطة.

English: Real exchange-rate appreciation hurts export competitiveness.
Arabic: يضر تقدير سعر الصرف الحقيقي بالقدرة التنافسية للصادرات.

English: Carry trade strategy exploits interest-rate differentials.
Arabic: تستغل استراتيجية تداول الفائدة فروقات أسعار الفائدة.

English: Floating exchange-rate regime must be monitored by currency intervention mechanism during carry trade.
Arabic:","economic"

"Terms: core inflation measure=مقياس التضخم الأساسي - headline inflation rate=معدل التضخم الرئيسي - consumer price index basket=سلة مؤشر أسعار المستهلك - producer price index trend=اتجاه مؤشر أسعار المنتج - inflation expectations survey=استطلاع توقعات التضخم

English: Core inflation measure excludes volatile food and energy prices.
Arabic: يستبعد مقياس التضخم الأساسي أسعار الغذاء والطاقة المتقلبة.

English: Headline inflation rate reflects total consumer price index basket.
Arabic: يعكس معدل التضخم الرئيسي سلة مؤشر أسعار المستهلك الكلية.

English: Producer price index trend predicts future consumer inflation.
Arabic: يتنبأ اتجاه مؤشر أسعار المنتج بالتضخم الاستهلاكي المستقبلي.

English: Inflation expectations survey influences wage negotiations.
Arabic: يؤثر استطلاع توقعات التضخم على مفاوضات الأجور.

English: Core inflation measure must be monitored by inflation expectations survey for policy credibility.
Arabic:","economic"

"Terms: natural rate of unemployment=المعدل الطبيعي للبطالة - phillips curve relationship=علاقة منحنى فيليبس - labor force participation rate=معدل مشاركة القوى العاملة - wage-price spiral spiral=حلزون الأجور-الأسعار - structural unemployment mismatch=عدم التطابق البطالة البنيوية

English: Natural rate of unemployment represents full-employment equilibrium.
Arabic: يمثل المعدل الطبيعي للبطالة التوازن التوظيف الكامل.

English: Phillips curve relationship links inflation and unemployment.
Arabic: تربط علاقة منحنى فيليبس بين التضخم والبطالة.

English: Labor force participation rate affects potential output.
Arabic: يؤثر معدل مشاركة القوى العاملة على الإخراج المحتمل.

English: Structural unemployment mismatch requires training programs.
Arabic: يتطلب عدم التطابق البطالة البنيوية برامج تدريب.

English: Natural rate of unemployment must be estimated by structural unemployment mismatch analysis.
Arabic:","economic"

"Terms: basel iii capital requirements=متطلبات رأس المال باسل III - stress testing exercise=تمرين اختبار الضغط - liquidity coverage ratio=نسبة التغطية السيولة - net stable funding ratio=نسبة التمويل المستقر الصافي - too-big-to-fail resolution=تسوية كبيرة جدا للفشل

English: Basel III capital requirements strengthen bank resilience.
Arabic: تعزز متطلبات رأس المال باسل III مرونة البنك.

English: Stress testing exercise identifies systemic vulnerabilities.
Arabic: يحدد تمرين اختبار الضغط الضعف النظامي.

English: Liquidity coverage ratio ensures short-term resilience.
Arabic: تضمن نسبة التغطية السيولة المرونة قصيرة الأجل.

English: Too-big-to-fail resolution prevents systemic collapse.
Arabic: تمنع تسوية كبيرة جدا للفشل الانهيار النظامي.

English: Basel III capital requirements must include stress testing exercise for too-big-to-fail resolution.
Arabic:","economic"

"Terms: comparative advantage theory=نظرية الميزة النسبية - trade-weighted exchange rate=سعر الصرف الموزون بالتجارة - tariff escalation structure=هيكل تصعيد الرسوم الجمركية - export subsidy program=برنامج دعم الصادرات - world trade organization dispute=نزاع منظمة التجارة العالمية

English: Comparative advantage theory explains specialization gains.
Arabic: تشرح نظرية الميزة النسبية مكاسب التخصص.

English: Trade-weighted exchange rate affects export competitiveness.
Arabic: يؤثر سعر الصرف الموزون بالتجارة على القدرة التنافسية للصادرات.

English: Tariff escalation structure protects domestic processing.
Arabic: يحمي هيكل تصعيد الرسوم الجمركية المعالجة المحلية.

English: Export subsidy program distorts international markets.
Arabic: يشوه برنامج دعم الصادرات الأسواق الدولية.

English: Comparative advantage theory must guide trade-weighted exchange rate under WTO dispute.
Arabic:","economic"

