"query","field"
"Terms: intensive care units=المركزة العناية وحدات - severe symptoms=الشديدة الأعراض - patients=المرضى - admitted=يتم إدخالهم
English: Individuals with critical conditions should be transferred to ICU.
Arabic: المركزة العناية إلى الحرجة الحالات ذوي الأفراد نقل يجب.

English: Severe cases require immediate hospitalization in intensive care.
Arabic: المركزة العناية في الفوري التنويم تتطلب الشديدة الحالات.

Terms: intensive care units=المركزة العناية وحدات - severe symptoms=الشديدة الأعراض - patients=المرضى - admitted=يتم إدخالهم
English: Patients with severe symptoms must be admitted to intensive care units.
Arabic:","medical"


"Terms: coronary artery bypass graft=جراحة تجاوز الشريان التاجي - percutaneous coronary intervention=التداخل التاجي عن طريق الجلد - acute myocardial infarction=احتشاء عضلة القلب الحاد - cardiac catheterization=قسطرة القلب - chest pain relief=تخفيف ألم الصدر

English: Patients with acute myocardial infarction require immediate percutaneous coronary intervention.
Arabic: يتطلب المرضى المصابين باحتشاء عضلة القلب الحاد التداخل التاجي الفوري عن طريق الجلد.

English: Coronary artery bypass graft is indicated for multi-vessel disease.
Arabic: يُشير إلى جراحة تجاوز الشريان التاجي لأمراض الأوعية المتعددة.

English: Cardiac catheterization revealed severe stenosis in the left anterior descending artery.
Arabic: كشفت قسطرة القلب تضيقًا شديدًا في الشريان التاجي الأمامي الهابط.

English: Chest pain relief was achieved after successful percutaneous intervention.
Arabic: تم تحقيق تخفيف ألم الصدر بعد التداخل التاجي الناجح.

English: Acute myocardial infarction patients must undergo cardiac catheterization immediately.
Arabic: يجب إجراء قسطرة القلب فورًا للمرضى المصابين باحتشاء عضلة القلب الحاد.

Terms: coronary artery bypass graft=جراحة تجاوز الشريان التاجي - percutaneous coronary intervention=التداخل التاجي عن طريق الجلد - acute myocardial infarction=احتشاء عضلة القلب الحاد - cardiac catheterization=قسطرة القلب - chest pain relief=تخفيف ألم الصدر
English: Patients with acute myocardial infarction must undergo immediate percutaneous coronary intervention.
Arabic:","medical"

"Terms: magnetic resonance imaging=التصوير بالرنين المغناطيسي - computed tomography scan=فحص بالتصوير المقطعي المحوسب - acute stroke protocol=بروتوكول السكتة الدماغية الحادة - intracranial hemorrhage=نزيف داخل الجمجمة - tissue plasminogen activator=منشط بلازمينوجين الأنسجة

English: Acute stroke protocol mandates immediate computed tomography scan.
Arabic: يُلزم بروتوكول السكتة الدماغية الحادة بفحص بالتصوير المقطعي المحوسب فورًا.

English: Magnetic resonance imaging revealed intracranial hemorrhage.
Arabic: كشف التصوير بالرنين المغناطيسي نزيفًا داخل الجمجمة.

English: Tissue plasminogen activator is contraindicated in intracranial hemorrhage.
Arabic: منشط بلازمينوجين الأنسجة ممنوع في حالة نزيف داخل الجمجمة.

English: Computed tomography scan must exclude hemorrhage before thrombolysis.
Arabic: يجب أن يستبعد فحص بالتصوير المقطعي المحوسب النزيف قبل الخلط الدموي.

English: Acute stroke patients require immediate magnetic resonance imaging.
Arabic: يتطلب مرضى السكتة الدماغية الحادة التصوير بالرنين المغناطيسي فورًا.

Terms: magnetic resonance imaging=التصوير بالرنين المغناطيسي - computed tomography scan=فحص بالتصوير المقطعي المحوسب - acute stroke protocol=بروتوكول السكتة الدماغية الحادة - intracranial hemorrhage=نزيف داخل الجمجمة - tissue plasminogen activator=منشط بلازمينوجين الأنسجة
English: Acute stroke protocol requires immediate computed tomography scan.
Arabic:","medical"

"Terms: insulin-dependent diabetes mellitus=السكري المعتمد على الأنسولين - continuous glucose monitoring=مراقبة الجلوكوز المستمرة - diabetic ketoacidosis=الحماض الكيتوني السكري - basal insulin dose=جرعة الأنسولين القاعدية - blood glucose target=هدف سكر الدم

English: Insulin-dependent diabetes mellitus requires continuous glucose monitoring.
Arabic: يتطلب السكري المعتمد على الأنسولين مراقبة الجلوكوز المستمرة.

English: Diabetic ketoacidosis is a life-threatening complication.
Arabic: الحماض الكيتوني السكري هو مضاعفة تهدد الحياة.

English: Basal insulin dose should be adjusted according to blood glucose target.
Arabic: يجب ضبط جرعة الأنسولين القاعدية وفقًا لهدف سكر الدم.

English: Continuous glucose monitoring improves glycemic control in diabetic patients.
Arabic: تحسن مراقبة الجلوكوز المستمرة السيطرة على السكر في مرضى السكري.

English: Diabetic ketoacidosis patients need immediate insulin therapy.
Arabic: يحتاج مرضى الحماض الكيتوني السكري إلى علاج أنسوليني فوري.

Terms: insulin-dependent diabetes mellitus=السكري المعتمد على الأنسولين - continuous glucose monitoring=مراقبة الجلوكوز المستمرة - diabetic ketoacidosis=الحماض الكيتوني السكري - basal insulin dose=جرعة الأنسولين القاعدية - blood glucose target=هدف سكر الدم
English: Diabetic ketoacidosis must be treated with continuous insulin infusion.
Arabic:","medical"


