English,Arabic
Patients with severe symptoms must be admitted to intensive care units.,يجب إدخال المرضى الذين يعانون من أعراض شديدة إلى وحدات العناية المركزة.
Patients with acute myocardial infarction must undergo immediate percutaneous coronary intervention.,يجب أن يخضع المرضى المصابون باحتشاء عضلة القلب الحاد للتدخل التاجي عن طريق الجلد الفوري.
Acute stroke protocol requires immediate computed tomography scan.,يتطلب بروتوكول السكتة الدماغية الحادة فحص التصوير المقطعي المحوسب الفوري.
Diabetic ketoacidosis must be treated with continuous insulin infusion.,يجب علاج الحماض الكيتوني السكري بضخ الأنسولين المستمر.
Acute respiratory distress syndrome requires mechanical ventilation support.,يتطلب متلازمة الضائقة التنفسية الحادة دعم التهوية الميكانيكية.
Acute kidney injury must be treated with continuous renal replacement therapy.,يجب علاج إصابة الكلى الحادة بالعلاج الكلوي البديل المستمر.
Congenital heart defect neonates must receive pediatric intensive care unit support.,يجب أن يتلقى الأطفال حديثو الولادة المصابون بعيوب القلب الخلقية دعم وحدة العناية المركزة للأطفال.
Sepsis-induced coagulopathy must be treated with immediate blood culture.,يجب علاج اعتلال التخثر الناجم عن الإنتان بزراعة الدم الفورية.
Hepatic encephalopathy must be evaluated for urgent liver transplantation.,يجب تقييم الاعتلال الدماغي الكبدي لزراعة الكبد العاجلة.
Deep vein thrombosis must be confirmed by venous duplex ultrasound.,يجب تأكيد تجلط الأوردة العميقة بالموجات فوق الصوتية الوريدية المزدوجة.
Neonatal abstinence syndrome must be assessed using Finnegan scoring system.,يجب تقييم متلازمة الامتناع عند حديثي الولادة باستخدام نظام تسجيل فينيغان.
Extracorporeal membrane oxygenation must be initiated for severe cardiac failure.,يجب بدء الأكسجة الغشائية خارج الجسم للفشل القلبي الشديد.
Transesophageal echocardiography must be performed for mitral valve regurgitation assessment.,يجب إجراء تخطيط صدى القلب عبر المريء لتقييم قصور الصمام التاجي.
High-flow nasal cannula must be used before intubation in acute hypoxemic respiratory failure.,يجب استخدام القنية الأنفية عالية التدفق قبل التنبيب في الفشل التنفسي نقص الأكسجة الحاد.
Continuous renal replacement therapy must achieve urea clearance target in acute kidney injury.,يجب أن يحقق العلاج الكلوي البديل المستمر هدف تصفية اليوريا في إصابة الكلى الحادة.
Therapeutic hypothermia protocol must be started within 6 hours of birth for neonatal encephalopathy.,يجب بدء بروتوكول انخفاض حرارة الجسم العلاجي خلال 6 ساعات من الولادة للاعتلال الدماغي لحديثي الولادة.
Extracorporeal cardiopulmonary resuscitation must be initiated within 20 minutes of refractory cardiac arrest.,يجب بدء الإنعاش القلبي الرئوي خارج الجسم خلال 20 دقيقة من السكتة القلبية المقاومة.
Pediatric sedation protocol must include capnography monitoring during propofol infusion.,يجب أن يتضمن بروتوكول التخدير للأطفال مراقبة تخطيط ثاني أكسيد الكربون أثناء ضخ البروبوفول.
Sepsis bundle must achieve antimicrobial timing within one hour.,يجب أن تحقق حزمة الإنتان توقيت مضادات الميكروبات خلال ساعة واحدة.
Insulin pump therapy must integrate continuous glucose monitoring for hypoglycemia unawareness.,يجب أن يتكامل علاج مضخة الأنسولين مع المراقبة المستمرة للجلوكوز لعدم الوعي بنقص السكر في الدم.
Telemedicine consultation must use asynchronous communication for flexible response.,يجب أن تستخدم استشارة الطب عن بعد الاتصال غير المتزامن للاستجابة المرنة.
Severe acute respiratory syndrome coronavirus 2 must be quantified by reverse transcription polymerase chain reaction.,يجب قياس فيروس كورونا المسبب لمتلازمة الضائقة التنفسية الحادة الوخيمة 2 عن طريق تفاعل البوليميراز المتسلسل بالنسخ العكسي.
Coronavirus disease 2019 must be confirmed by polymerase chain reaction after antigen rapid test.,يجب تأكيد مرض فيروس كورونا 2019 بتفاعل البوليميراز المتسلسل بعد اختبار المستضد السريع.
Severe COVID-19 pneumonia must be managed with prone positioning before mechanical ventilation.,يجب إدارة الالتهاب الرئوي الشديد لكوفيد-19 بوضعية الانبطاح قبل التهوية الميكانيكية.
COVID-19 vaccine development must utilize spike protein antigen for mRNA vaccines.,يجب أن يستخدم تطوير لقاح كوفيد-19 مستضد البروتين الشوكي للقاحات الحمض النووي الريبوزي المرسال.
Vaccine efficacy against severe disease must reduce hospitalization rate in COVID-19.,يجب أن تقلل فعالية اللقاح ضد المرض الشديد معدل دخول المستشفى في كوفيد-19.
Long COVID syndrome must be managed by multidisciplinary rehabilitation.,يجب إدارة متلازمة كوفيد الطويل من خلال إعادة التأهيل متعدد التخصصات.
COVID-19 transmission must be reduced by mask wearing and social distancing.,يجب تقليل انتقال كوفيد-19 من خلال ارتداء الكمامات والتباعد الاجتماعي.
COVID-19 variant must be tracked by genomic surveillance for booster adaptation.,يجب تتبع متحور كوفيد-19 من خلال المراقبة الجينومية لتكييف الجرعة المعززة.
COVID-19 pregnancy guidelines must confirm breastfeeding safety after maternal vaccination.,يجب أن تؤكد إرشادات كوفيد-19 للحمل سلامة الرضاعة الطبيعية بعد تطعيم الأم.
COVID-19 outbreak investigation must include contact tracing and quarantine duration.,يجب أن يتضمن التحقيق في تفشي كوفيد-19 تتبع المخالطين ومدة الحجر الصحي.
Non-small cell lung cancer must be tested for epidermal growth factor receptor mutation before tyrosine kinase inhibitor therapy.,يجب اختبار سرطان الرئة ذو الخلايا غير الصغيرة لطفرة مستقبل عامل النمو البشروي قبل علاج مثبط كيناز التيروزين.
Triple negative breast cancer must receive neoadjuvant therapy before surgery.,يجب أن يتلقى سرطان الثدي الثلاثي السلبي العلاج المساعد الجديد قبل الجراحة.
